Region,Scenario,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2017,2018,2019,2021,2022,2023,2024
ASEAN,BAU,Area|Forest|Age Class|0-20,Million ha,24.447499999999998,11.2807,3.5944000000000003,0.5681,0.0,0.0,0.0,,,,,,,
ASEAN,BAU,Area|Forest|Age Class|21-40,Million ha,74.0511,69.0561,57.6757,40.2007,24.447499999999998,11.2807,3.5944000000000003,,,,,,,
ASEAN,BAU,Area|Forest|Age Class|41-60,Million ha,27.8361,42.1476,55.994699999999995,69.1118,74.0511,69.0561,57.6757,,,,,,,
ASEAN,BAU,Area|Forest|Age Class|61+,Million ha,201.41619999999998,205.26649999999998,210.4861,217.8703,229.2523,247.4141,266.4808,,,,,,,
ASEAN,BAU,Carbon Stock|Forest|Total,Mt C,30677.330277029407,31699.68191488083,32606.945271795947,33383.991276559296,34031.23285013192,34559.2866763905,34983.75914654858,,,,,,,
ASEAN,BAU,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-809.2428600387169,-749.724534424378,-665.3264617377508,-569.8337368264548,-474.6438206199247,-387.2394725896217,-311.27981144926537,,,,,,,
Canada,BAU,Area|Forest|Age Class|0-20,Million ha,0.7488,0.6995,0.6348,0.0825,0.0,0.0,0.0,,,,,,,
Canada,BAU,Area|Forest|Age Class|21-40,Million ha,0.4242,0.2556,0.2159,0.7082,0.7488,0.6995,0.6348,,,,,,,
Canada,BAU,Area|Forest|Age Class|41-60,Million ha,10.2662,5.0236,2.198,0.9192,0.4242,0.2556,0.2159,,,,,,,
Canada,BAU,Area|Forest|Age Class|61+,Million ha,437.3257,442.7862,445.7162,447.055,447.5919,447.8098,447.9142,,,,,,,
Canada,BAU,Carbon Stock|Forest|Total,Mt C,18866.318176551616,19310.538252402217,19733.134445228767,20142.585442947217,20546.92453592233,20951.874991053843,21358.541146105224,,,,,,,
Canada,BAU,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-349.4758438642156,-325.76138895710704,-309.90387473946976,-300.2640649935298,-296.51533484842025,-296.9636670964389,-298.22184703768,,,,,,,
China,BAU,Area|Forest|Age Class|0-20,Million ha,51.6047,19.8894,3.3608,0.005,0.0,0.0,0.0,,,,,,,
China,BAU,Area|Forest|Age Class|21-40,Million ha,74.9872,94.4262,98.6958,76.3461,51.6047,19.8894,3.3608,,,,,,,
China,BAU,Area|Forest|Age Class|41-60,Million ha,38.1847,39.5079,43.0575,58.2221,74.9872,94.4262,98.6958,,,,,,,
China,BAU,Area|Forest|Age Class|61+,Million ha,34.0087,44.9618,53.6712,64.2121,72.1934,84.4697,96.7287,,,,,,,
China,BAU,Carbon Stock|Forest|Total,Mt C,7037.491800599174,7295.275238126665,7444.601347202743,7538.972464943079,7601.419775794865,7643.730636587261,7672.874873587468,,,,,,,
China,BAU,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-342.05841983443304,-189.04118752015975,-109.50581332245784,-69.2054863429128,-45.794694624643,-31.027964581090355,-21.372440466818382,,,,,,,
European Union & United Kingdom,BAU,Area|Forest|Age Class|0-20,Million ha,2.9074999999999998,1.986,1.1903000000000001,0.0864,0.0,0.0,0.0,,,,,,,
European Union & United Kingdom,BAU,Area|Forest|Age Class|21-40,Million ha,5.8389,4.7259,3.9728,3.8356,2.9074999999999998,1.986,1.1903000000000001,,,,,,,
European Union & United Kingdom,BAU,Area|Forest|Age Class|41-60,Million ha,29.658099999999997,18.404799999999998,11.0767,7.6053,5.8389,4.7259,3.9728,,,,,,,
European Union & United Kingdom,BAU,Area|Forest|Age Class|61+,Million ha,133.1321,146.41989999999998,155.2968,160.0093,162.7902,164.8247,166.3735,,,,,,,
European Union & United Kingdom,BAU,Carbon Stock|Forest|Total,Mt C,8056.175092784361,8424.458598951956,8762.222947339073,9070.514982189588,9350.342780232282,9603.09955094057,9830.53093324201,,,,,,,
European Union & United Kingdom,BAU,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-294.7737497940012,-270.07457118957007,-247.69385548388428,-226.0808255570453,-205.20705189797596,-185.3549651860762,-166.7830136877231,,,,,,,
India,BAU,Area|Forest|Age Class|0-20,Million ha,6.2659,2.1921,0.2834,0.0031,0.0,0.0,0.0,,,,,,,
India,BAU,Area|Forest|Age Class|21-40,Million ha,23.5471,23.435,19.1355,11.3292,6.2659,2.1921,0.2834,,,,,,,
India,BAU,Area|Forest|Age Class|41-60,Million ha,9.2182,11.9464,16.2358,21.5273,23.5471,23.435,19.1355,,,,,,,
