Region,Scenario,Variable,Unit,2017,2018,2019,2020,2021,2022,2023,2024
AFG,Historical,Area|Forest|Age Class|0-20,Million ha,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
AFG,Historical,Area|Forest|Age Class|21-40,Million ha,0.0159,0.0159,0.0159,0.0159,0.0124,0.0124,0.0124,0.0124
AFG,Historical,Area|Forest|Age Class|41-60,Million ha,0.0131,0.0131,0.0131,0.0131,0.0133,0.0133,0.0133,0.0133
AFG,Historical,Area|Forest|Age Class|61+,Million ha,0.1182,0.1182,0.1182,0.1182,0.1215,0.1215,0.1215,0.1215
AFG,Historical,Carbon Stock|Forest|Total,Mt C,5.519389892216378,5.554897702103235,5.589979779999999,5.624627812626131,5.658834028279862,5.692591206747904,5.725892686567884,5.758732369751208
AFG,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.13172389878987217,-0.13019530291847273,-0.1286342856214704,-0.1270427862958166,-0.12542279073034557,-0.12377632104948955,-0.12210542600659331,-0.12041217167218546
AGO,Historical,Area|Forest|Age Class|0-20,Million ha,14.1524,14.0648,13.9769,13.9004,5.8784,5.816,5.7565,5.7005
AGO,Historical,Area|Forest|Age Class|21-40,Million ha,9.0767,9.1378,9.199,9.2477,16.9952,17.0178,17.0384,17.0614
AGO,Historical,Area|Forest|Age Class|41-60,Million ha,0.9434,0.9511,0.9584,0.9654,1.1507,1.1676,1.1863,1.2009
AGO,Historical,Area|Forest|Age Class|61+,Million ha,11.7485,11.7673,11.7867,11.8075,11.8967,11.9196,11.9398,11.9582
AGO,Historical,Carbon Stock|Forest|Total,Mt C,1564.354655204814,1595.6445799454782,1627.4996256699992,1659.8485591716085,1692.6201108884786,1725.7448530737695,1759.1536008731025,1792.7782216860787
AGO,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-112.40850416998538,-114.72972404910213,-116.80183432324368,-118.61275617256736,-120.16235629519049,-121.45738801273319,-122.49874193088772,-123.29027631424613
AIA,Historical,Area|Forest|Age Class|0-20,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIA,Historical,Area|Forest|Age Class|21-40,Million ha,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
AIA,Historical,Area|Forest|Age Class|41-60,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIA,Historical,Area|Forest|Age Class|61+,Million ha,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
AIA,Historical,Carbon Stock|Forest|Total,Mt C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIA,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Historical,Area|Forest|Age Class|0-20,Million ha,0.0233,0.0233,0.0233,0.0233,0.0215,0.0215,0.0215,0.0215
ALB,Historical,Area|Forest|Age Class|21-40,Million ha,0.0239,0.0239,0.0239,0.0239,0.0114,0.0114,0.0114,0.0114
ALB,Historical,Area|Forest|Age Class|41-60,Million ha,0.1638,0.1543,0.1464,0.138,0.1275,0.1208,0.1138,0.1079
ALB,Historical,Area|Forest|Age Class|61+,Million ha,0.3456,0.3551,0.363,0.3714,0.3962,0.4029,0.4099,0.4158
