Reporting_Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
ASEAN,Area|Forest|Age Class|0-20,Million ha,24.447499999999998,11.2807,3.5944000000000003,0.5681,0.0,0.0,0.0
ASEAN,Area|Forest|Age Class|21-40,Million ha,74.0511,69.0561,57.6757,40.2007,24.447499999999998,11.2807,3.5944000000000003
ASEAN,Area|Forest|Age Class|41-60,Million ha,27.8361,42.1476,55.994699999999995,69.1118,74.0511,69.0561,57.6757
ASEAN,Area|Forest|Age Class|61+,Million ha,201.41619999999998,205.26649999999998,210.4861,217.8703,229.2523,247.4141,266.4808
ASEAN,Carbon Stock|Forest|Total,Mt C,30677.391638999998,31699.879849640627,32607.40104584375,33384.781338546876,34032.341290953125,34560.648775281246,34985.2933133125
ASEAN,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-809.2764136966301,-749.8246878031249,-665.5155438822923,-570.0788813156248,-474.87729843125027,-387.4254885072907,-311.4059945562515
Canada,Area|Forest|Age Class|0-20,Million ha,0.7488,0.6995,0.6348,0.0825,0.0,0.0,0.0
Canada,Area|Forest|Age Class|21-40,Million ha,0.4242,0.2556,0.2159,0.7082,0.7488,0.6995,0.6348
Canada,Area|Forest|Age Class|41-60,Million ha,10.2662,5.0236,2.198,0.9192,0.4242,0.2556,0.2159
Canada,Area|Forest|Age Class|61+,Million ha,437.3257,442.7862,445.7162,447.055,447.5919,447.8098,447.9142
Canada,Carbon Stock|Forest|Total,Mt C,19106.371584,78986813073195.53,6.666292213223389e+19,7.037779603879199e+22,2.454818172941435e+24,1.5032421953921056e+25,3.789247417593537e+25
Canada,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-525.3869948935961,-57923662906332.05,-4.888608497330859e+19,-5.156149761888382e+22,-1.7485896097286045e+24,-9.22357610605172e+24,-1.6764038296143826e+25
China,Area|Forest|Age Class|0-20,Million ha,51.6047,19.8894,3.3608,0.005,0.0,0.0,0.0
China,Area|Forest|Age Class|21-40,Million ha,74.9872,94.4262,98.6958,76.3461,51.6047,19.8894,3.3608
