Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
AFG,Area|Forest|Age Class|0-20,Million ha,0.0006,0.0006,0.0005,0.0,0.0,0.0,0.0
AFG,Area|Forest|Age Class|21-40,Million ha,0.0159,0.0124,0.0073,0.0024,0.0006,0.0006,0.0005
AFG,Area|Forest|Age Class|41-60,Million ha,0.0131,0.0133,0.0157,0.0183,0.0159,0.0124,0.0073
AFG,Area|Forest|Age Class|61+,Million ha,0.1182,0.1215,0.1243,0.1271,0.1313,0.1348,0.14
AFG,Carbon Stock|Forest|Total,Mt C,5.624628,5.791105,5.9458025,6.0883065,6.2185285,6.336661,6.443126
AFG,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.13016303024930914,-0.12208313333333298,-0.11344483333333344,-0.10450293333333313,-0.0954961333333332,-0.08663050000000047,-0.07807433333333336
AGO,Area|Forest|Age Class|0-20,Million ha,13.9004,5.6556,1.0112,0.0487,0.0,0.0,0.0
AGO,Area|Forest|Age Class|21-40,Million ha,9.2477,17.0745,21.0871,20.3211,13.9004,5.6556,1.0112
AGO,Area|Forest|Age Class|41-60,Million ha,0.9654,1.2104,1.6205,3.0822,9.2477,17.0745,21.0871
AGO,Area|Forest|Age Class|61+,Million ha,11.8075,11.9805,12.2022,12.469,12.7729,13.1909,13.8227
AGO,Carbon Stock|Forest|Total,Mt C,1659.84832,1826.552064,1995.488256,2159.60704,2313.75232,2454.691584,2580.842496
AGO,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-114.47832079437069,-122.24941226666661,-123.88654080000008,-120.35377493333317,-113.03987200000013,-103.35546026666673,-92.51066880000005
AIA,Area|Forest|Age Class|0-20,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIA,Area|Forest|Age Class|21-40,Million ha,0.0003,0.0003,0.0003,0.0,0.0,0.0,0.0
AIA,Area|Forest|Age Class|41-60,Million ha,0.0,0.0,0.0,0.0003,0.0003,0.0003,0.0003
AIA,Area|Forest|Age Class|61+,Million ha,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
AIA,Carbon Stock|Forest|Total,Mt C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIA,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Area|Forest|Age Class|0-20,Million ha,0.0233,0.0215,0.0179,0.0003,0.0,0.0,0.0
ALB,Area|Forest|Age Class|21-40,Million ha,0.0239,0.0114,0.0084,0.0238,0.0233,0.0215,0.0179
ALB,Area|Forest|Age Class|41-60,Million ha,0.138,0.1003,0.0639,0.0404,0.0239,0.0114,0.0084
ALB,Area|Forest|Age Class|61+,Million ha,0.3714,0.4234,0.4664,0.4921,0.5094,0.5237,0.5303
ALB,Carbon Stock|Forest|Total,Mt C,15.673269,16.736696,17.773444,18.7777,19.744698,20.670672,21.55282
ALB,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.7943983084934494,-0.7798464666666659,-0.7602818666666687,-0.7364543999999985,-0.7091318666666668,-0.6790476,-0.646908533333334
AND,Area|Forest|Age Class|0-20,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,Area|Forest|Age Class|21-40,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,Area|Forest|Age Class|41-60,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,Area|Forest|Age Class|61+,Million ha,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124
AND,Carbon Stock|Forest|Total,Mt C,0.6140385625,0.6226596875,0.6267205625,0.62850025,0.6292569375,0.6295753125,0.6297089375
