Model,Scenario,Region,Variable,Unit,2020,2021,2022,2025,2030,2035,2040,2045,2050,Remark,,,,,,
SNU_Ind,Historical,KOR,Energy Intensity|Steel|Coal,toe/ton,0.45,0.44,0.44,,,,,,,[통합팀] MPP DB 연료투입계수(input_usage) 실적,,,,,,
SNU_Ind,NetZero,KOR,Energy Intensity|Steel|Coal,toe/ton,,,,3.25,2.72,2.62,1.84,1.93,1.74,[산업팀] 석탄 투입 원단위 전망,,,,,,
SNU_Ind,Historical,KOR,Energy Intensity|Steel|Electricity,toe/ton,0.15,0.15,0.16,,,,,,,[통합팀] MPP DB 연료투입계수 실적,,,,,,
SNU_Ind,NetZero,KOR,Energy Intensity|Steel|Electricity,toe/ton,,,,2.09,2.01,2.95,3.72,6.43,7.34,[산업팀] 전력 투입 원단위 전망,,,,,,
SNU_Ind,Historical,KOR,Energy Intensity|Steel|Hydrogen,toe/ton,0,0,0,,,,,,,[통합팀] 수소 투입 원단위 실적,,,,,,
SNU_Ind,NetZero,KOR,Energy Intensity|Steel|Hydrogen,toe/ton,,,,0,0.24,1.35,1.09,0.81,0.57,[산업팀] 수소 투입 원단위 전망,,,,,,
SNU_Ind,Historical,KOR,Carbon Intensity|Steel|Average,tCO2/ton,1.35,1.35,1.34,,,,,,,[통합팀] (총배출량/총생산량) 실적치 연산,,,,,,
SNU_Ind,NetZero,KOR,Carbon Intensity|Steel|Average,tCO2/ton,,,,1.2,0.95,0.75,0.59,0.47,0.37,[산업팀] 평균 탄소집약도 전망 (CBAM용),,,,,,
SNU_Ind,NetZero,KOR,Investment|Steel|CAPEX,Million USD,,,,3740.47,6140.38,7610.7,1547.4,0,0,[산업팀] 신규/기존부지 합산 총 투자비(CGE연동),,,,,,
SNU_Ind,NetZero,KOR,Investment|Steel|OPEX,Million USD,,,,189480,224742,283130,294584,316369,316369,[산업팀] 고정 운영비 합산액(CGE연동),,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
